City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
207,Verkhoyansk,RU,67.54,133.38,-38.81,77,19,1.57,few clouds,2021-01-05 06:15:00
208,Tamworth,GB,52.63,-1.7,34.0,94,0,10.29,clear sky,2021-01-05 06:17:30
209,Mayo,US,38.89,-76.51,41.0,86,90,1.81,overcast clouds,2021-01-05 06:17:31
210,Bengkulu,ID,-3.8,102.27,85.71,66,56,9.55,moderate rain,2021-01-05 06:17:31
211,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,66,0,3.36,clear sky,2021-01-05 06:17:31
212,Kapaa,US,22.08,-159.32,75.2,78,40,10.29,scattered clouds,2021-01-05 06:17:31
213,Port Blair,IN,11.67,92.75,84.2,74,40,11.41,scattered clouds,2021-01-05 06:17:31
214,Salalah,OM,17.02,54.09,73.4,38,0,5.82,clear sky,2021-01-05 06:17:32
215,Chuy,UY,-33.7,-53.46,69.46,87,87,8.28,overcast clouds,2021-01-05 06:17:32
216,Lake Charles,US,30.21,-93.2,48.2,100,1,4.03,clear sky,2021-01-05 06:15:03
217,Atar,MR,20.52,-13.05,65.66,43,70,4.32,broken clouds,2021-01-05 06:17:32
218,Mirabad,AF,30.44,61.84,40.86,57,0,19.75,clear sky,2021-01-05 06:17:32
219,Coahuayana,MX,18.73,-103.68,69.8,77,5,3.13,clear sky,2021-01-05 06:17:33
220,Hun,LY,29.13,15.95,46.58,55,24,6.02,few clouds,2021-01-05 06:17:33
221,Taltal,CL,-25.4,-70.48,62.94,80,24,1.9,few clouds,2021-01-05 06:17:33
222,Mount Isa,AU,-20.73,139.5,96.8,32,40,12.75,scattered clouds,2021-01-05 06:17:33
223,Klaksvik,FO,62.23,-6.59,39.2,100,91,2.24,fog,2021-01-05 06:17:34
224,Fuling,CN,29.7,107.39,50.63,59,94,2.13,overcast clouds,2021-01-05 06:17:34
225,Lappeenranta,FI,61.06,28.19,25.0,88,96,5.44,overcast clouds,2021-01-05 06:17:34
226,Sobolevo,RU,54.43,31.9,30.25,99,98,8.41,overcast clouds,2021-01-05 06:17:34
227,Nanortalik,GL,60.14,-45.24,28.02,96,97,6.73,overcast clouds,2021-01-05 06:17:35
228,Kysyl-Syr,RU,63.9,122.76,-39.35,80,47,4.09,scattered clouds,2021-01-05 06:17:35
229,Buraydah,SA,26.33,43.98,53.6,100,75,11.41,mist,2021-01-05 06:17:35
230,Vestmanna,FO,62.16,-7.17,39.2,100,92,2.24,fog,2021-01-05 06:17:35
