City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Kalnciems,LV,2021-01-02 00:51:18,56.8,23.61,32.0,98,90,3.31
218,Chamlykskaya,RU,2021-01-02 00:51:18,44.72,40.88,42.73,63,100,3.38
219,Manggar,ID,2021-01-02 00:51:18,-2.88,108.27,81.18,80,100,7.43
220,Kamina,CD,2021-01-02 00:51:18,-8.74,24.99,64.26,96,100,3.74
221,Hobyo,SO,2021-01-02 00:51:18,5.35,48.53,75.38,76,88,16.08
222,Port Elizabeth,ZA,2021-01-02 00:51:19,-33.92,25.57,66.2,59,40,8.05
223,Kelo,TD,2021-01-02 00:51:19,9.31,15.81,72.34,31,100,3.91
224,Narasannapeta,IN,2021-01-02 00:51:19,18.42,84.05,63.37,76,14,5.48
225,Vrangel,RU,2021-01-02 00:51:19,42.73,133.08,0.72,78,0,14.36
226,Wakkanai,JP,2021-01-02 00:51:19,45.41,141.67,19.4,79,75,24.16
227,Marakkanam,IN,2021-01-02 00:51:20,12.2,79.95,73.17,86,90,10.96
228,Kamaishi,JP,2021-01-02 00:51:20,39.27,141.88,19.4,85,75,2.24
229,Skibbereen,IE,2021-01-02 00:51:20,51.55,-9.27,33.8,86,20,11.41
230,Temozon,MX,2021-01-02 00:51:20,20.8,-88.22,75.0,87,100,3.6
231,Zhangjiakou,CN,2021-01-02 00:51:20,40.81,114.88,9.07,79,0,4.36
232,Bubaque,GW,2021-01-02 00:51:21,11.28,-15.83,80.46,68,0,11.23
233,Constitucion,CL,2021-01-02 00:50:06,-35.33,-72.42,58.86,76,0,12.95
234,Randolph,US,2021-01-02 00:46:23,35.7,-79.82,41.0,100,90,8.05
235,Grand Forks,US,2021-01-02 00:51:21,47.94,-97.43,26.6,100,90,5.82
236,Fayetteville,US,2021-01-02 00:49:32,35.05,-78.88,48.2,93,90,5.82
237,Kysyl-Syr,RU,2021-01-02 00:51:22,63.9,122.76,-20.76,86,100,6.58
238,Pulaski,US,2021-01-02 00:49:09,34.77,-92.3,43.0,81,90,8.05
239,Lompoc,US,2021-01-02 00:47:29,34.64,-120.46,55.4,76,1,11.41
240,Bac Lieu,VN,2021-01-02 00:51:22,9.29,105.72,73.02,73,91,8.37
241,Umm Kaddadah,SD,2021-01-02 00:51:23,13.6,26.69,64.11,25,100,14.16
242,Quelimane,MZ,2021-01-02 00:51:23,-17.88,36.89,77.5,87,7,6.04
243,Leningradskiy,RU,2021-01-02 00:51:23,69.38,178.42,-4.5,90,100,4.59
244,Straumen,NO,2021-01-02 00:51:23,63.87,11.3,36.0,74,0,14.99
245,Scicli,IT,2021-01-02 00:51:23,36.79,14.7,51.8,87,0,2.24
246,Chifeng,CN,2021-01-02 00:51:24,42.27,118.96,-6.21,83,0,5.3
247,Faya,SA,2021-01-02 00:51:24,18.39,42.45,53.6,81,0,2.59
248,Acapulco,MX,2021-01-02 00:51:24,16.86,-99.89,80.6,61,5,5.82
249,Biak,ID,2021-01-02 00:50:30,-0.91,122.88,83.05,68,81,0.54
250,Bhongir,IN,2021-01-02 00:51:25,17.51,78.89,63.0,100,46,3.36
251,Flinders,AU,2021-01-02 00:51:02,-34.58,150.86,68.0,89,99,3.0
252,Sitka,US,2021-01-02 00:49:24,57.05,-135.33,42.8,56,75,9.17
253,Ribeirao Branco,BR,2021-01-02 00:47:59,-24.22,-48.77,64.53,92,77,7.78
254,Muli,MV,2021-01-02 00:51:25,2.92,73.57,80.73,76,89,8.12
255,Okato,NZ,2021-01-02 00:51:26,-39.2,173.88,64.99,83,89,11.99
256,Acajutla,SV,2021-01-02 00:48:38,13.59,-89.83,72.0,100,57,1.86
257,Tahe,CN,2021-01-02 00:51:26,52.33,124.73,-11.7,81,0,6.08
258,Tagusao,PH,2021-01-02 00:51:26,9.19,117.81,81.46,74,96,5.79
259,Ondjiva,AO,2021-01-02 00:51:26,-17.07,15.73,66.65,86,100,6.31
260,Uppsala,SE,2021-01-02 00:46:28,60.0,17.75,33.8,100,100,1.12
261,Shingu,JP,2021-01-02 00:51:27,33.73,135.98,42.8,70,75,12.75
262,Aleppo,SY,2021-01-02 00:51:27,36.25,37.5,50.83,60,100,11.45
263,Khobi,GE,2021-01-02 00:51:27,42.32,41.9,37.4,69,0,5.82
264,Mar Del Plata,AR,2021-01-02 00:49:17,-38.0,-57.56,66.0,63,0,4.7
265,Bridlington,GB,2021-01-02 00:51:28,54.08,-0.19,37.99,93,28,9.17
266,Ambovombe,MG,2021-01-02 00:51:28,-25.17,46.08,71.92,78,0,2.21
267,Krasnovishersk,RU,2021-01-02 00:51:28,60.41,57.08,2.82,93,100,5.86
268,Buala,SB,2021-01-02 00:51:28,-8.14,159.59,86.81,62,99,5.44
269,Caravelas,BR,2021-01-02 00:51:28,-17.71,-39.25,75.09,86,0,5.86
270,Sobolevo,RU,2021-01-02 00:51:29,54.43,31.9,35.71,97,100,10.04
271,Labuhan,ID,2021-01-02 00:51:29,-6.88,112.21,80.73,78,100,5.08
272,Lazaro Cardenas,MX,2021-01-02 00:51:29,17.96,-102.2,71.78,63,0,7.76
